unnamed:_0_level_0,all_jurisdictions,all_jurisdictions.1,all_jurisdictions.2,all_jurisdictions.3,all_jurisdictions.4,federal_jurisdiction,federal_jurisdiction.1,federal_jurisdiction.2,federal_jurisdiction.3,federal_jurisdiction.4,provincial_jurisdiction,provincial_jurisdiction.1,provincial_jurisdiction.2,provincial_jurisdiction.3,provincial_jurisdiction.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Wholesale and retail trade,1,1400,36.0,2.0,4.0,,,,,,1,1400,36.0,2.0,4.0,jurisdiction_industry,Q32023,2025-10-21
Transportation,7,16358,43.9,4.5,4.3,5,12608,44.5,4.8,5.0,2,3750,42.0,3.3,2.1,jurisdiction_industry,Q32023,2025-10-21
Information and culture,2,1883,46.8,5.5,2.6,2,1883,46.8,5.5,2.6,,,,,,jurisdiction_industry,Q32023,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,jurisdiction_industry,Q32023,2025-10-21
"Education, health, and social services",16,101311,33.6,6.2,4.6,,,,,,16,101311,33.6,6.2,4.6,jurisdiction_industry,Q32023,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,Q32023,2025-10-21
Public administration,14,33608,45.8,2.4,3.0,4,20995,47.0,1.7,3.0,10,12613,43.6,3.5,3.0,jurisdiction_industry,Q32023,2025-10-21
All industries,32,180530,48.9,4.0,3.0,4,26541,50.5,3.8,3.3,28,153989,48.6,4.0,3.0,jurisdiction_industry,Q42023,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,Q42023,2025-10-21
Utilities,1,3220,24.0,3.7,3.5,,,,,,1,3220,24.0,3.7,3.5,jurisdiction_industry,Q42023,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,Q42023,2025-10-21
Manufacturing,3,13000,36.4,9.8,5.2,,,,,,3,13000,36.4,9.8,5.2,jurisdiction_industry,Q42023,2025-10-21
Wholesale and retail trade,3,11979,60.0,9.8,4.0,,,,,,3,11979,60.0,9.8,4.0,jurisdiction_industry,Q42023,2025-10-21
Transportation,4,4178,63.8,2.4,3.1,2,1881,83.0,3.6,3.2,2,2297,48.1,1.4,3.1,jurisdiction_industry,Q42023,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,Q42023,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,jurisdiction_industry,Q42023,2025-10-21
"Education, health, and social services",13,110141,50.6,2.8,2.6,,,,,,13,110141,50.6,2.8,2.6,jurisdiction_industry,Q42023,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,Q42023,2025-10-21
Public administration,8,38012,45.2,3.5,3.2,2,24660,48.0,3.8,3.3,6,13352,40.0,3.0,3.1,jurisdiction_industry,Q42023,2025-10-21
All industries,33,188927,45.9,3.0,2.6,6,14181,44.7,4.6,2.7,27,174746,46.0,2.9,2.6,jurisdiction_industry,Q12024,2025-10-21
Primary industries,1,3317,36.0,5.0,4.0,,,,,,1,3317,36.0,5.0,4.0,jurisdiction_industry,Q12024,2025-10-21
Utilities,1,520,36.0,3.0,2.7,,,,,,1,520,36.0,3.0,2.7,jurisdiction_industry,Q12024,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,Q12024,2025-10-21
Manufacturing,1,1303,36.0,7.8,4.6,,,,,,1,1303,36.0,7.8,4.6,jurisdiction_industry,Q12024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,Q12024,2025-10-21
Transportation,1,2100,60.0,8.2,5.4,1,2100,60.0,8.2,5.4,,,,,,jurisdiction_industry,Q12024,2025-10-21
Information and culture,3,6400,39.1,3.3,1.8,2,5100,40.2,3.2,1.6,1,1300,35.0,4.0,2.7,jurisdiction_industry,Q12024,2025-10-21
Finance and professional services,1,900,12.0,0.0,0.0,1,900,12.0,0.0,0.0,,,,,,jurisdiction_industry,Q12024,2025-10-21
"Education, health, and social services",19,144591,46.4,2.8,2.5,,,,,,19,144591,46.4,2.8,2.5,jurisdiction_industry,Q12024,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,Q12024,2025-10-21
Public administration,6,29796,46.6,3.1,2.9,2,6081,48.0,5.2,3.2,4,23715,46.3,2.5,2.8,jurisdiction_industry,Q12024,2025-10-21
All industries,56,653329,53.5,5.3,3.5,6,32460,23.5,4.1,4.1,50,620869,55.1,5.4,3.5,jurisdiction_industry,Q22024,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,Q22024,2025-10-21
Utilities,1,1690,36.0,3.0,2.7,,,,,,1,1690,36.0,3.0,2.7,jurisdiction_industry,Q22024,2025-10-21
Construction,1,700,48.0,2.8,2.6,1,700,48.0,2.8,2.6,,,,,,jurisdiction_industry,Q22024,2025-10-21
Manufacturing,3,2540,51.8,8.2,4.3,,,,,,3,2540,51.8,8.2,4.3,jurisdiction_industry,Q22024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,Q22024,2025-10-21
Transportation,3,15250,37.1,4.4,4.0,2,3750,40.5,3.1,3.1,1,11500,36.0,4.8,4.3,jurisdiction_industry,Q22024,2025-10-21
Information and culture,3,2205,45.4,2.8,2.4,1,500,36.0,2.0,2.3,2,1705,48.1,3.0,2.5,jurisdiction_industry,Q22024,2025-10-21
Finance and professional services,1,8510,12.0,5.0,5.0,1,8510,12.0,5.0,5.0,,,,,,jurisdiction_industry,Q22024,2025-10-21
"Education, health, and social services",37,586903,55.8,5.5,3.5,,,,,,37,586903,55.8,5.5,3.5,jurisdiction_industry,Q22024,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,Q22024,2025-10-21
Public administration,7,35531,34.8,3.5,3.4,1,19000,24.0,4.0,4.0,6,16531,47.3,2.9,2.7,jurisdiction_industry,Q22024,2025-10-21
All industries,27,95429,42.8,4.1,3.3,4,10857,47.9,5.6,3.8,23,84572,42.1,3.9,3.3,jurisdiction_industry,Q32024,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,Q32024,2025-10-21
Utilities,,,,,,,,,,,,,,,,jurisdiction_industry,Q32024,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,Q32024,2025-10-21
Manufacturing,2,3561,29.8,13.8,8.5,,,,,,2,3561,29.8,13.8,8.5,jurisdiction_industry,Q32024,2025-10-21
Wholesale and retail trade,1,10229,36.0,3.0,2.6,,,,,,1,10229,36.0,3.0,2.6,jurisdiction_industry,Q32024,2025-10-21
Transportation,3,1857,47.7,9.7,4.3,3,1857,47.7,9.7,4.3,,,,,,jurisdiction_industry,Q32024,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,Q32024,2025-10-21
Finance and professional services,3,7990,31.8,4.5,2.8,,,,,,3,7990,31.8,4.5,2.8,jurisdiction_industry,Q32024,2025-10-21
"Education, health, and social services",10,35326,41.8,2.8,3.0,,,,,,10,35326,41.8,2.8,3.0,jurisdiction_industry,Q32024,2025-10-21
Entertainment and hospitality,1,750,36.0,5.0,3.7,,,,,,1,750,36.0,5.0,3.7,jurisdiction_industry,Q32024,2025-10-21
Public administration,7,35716,49.3,4.4,3.4,1,9000,48.0,4.8,3.7,6,26716,49.8,4.3,3.3,jurisdiction_industry,Q32024,2025-10-21
All industries,29,177872,50.3,4.8,3.7,7,11704,46.8,4.7,3.2,22,166168,50.6,4.8,3.7,jurisdiction_industry,Q42024,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,Q42024,2025-10-21
Utilities,1,1151,24.0,4.0,3.7,,,,,,1,1151,24.0,4.0,3.7,jurisdiction_industry,Q42024,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,Q42024,2025-10-21
Manufacturing,1,1400,60.0,8.0,4.5,,,,,,1,1400,60.0,8.0,4.5,jurisdiction_industry,Q42024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,Q42024,2025-10-21
Transportation,4,4994,45.1,3.9,3.1,3,3194,43.5,4.4,3.2,1,1800,48.0,3.0,3.0,jurisdiction_industry,Q42024,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,Q42024,2025-10-21
Finance and professional services,2,7315,68.6,0.7,3.5,1,1020,48.0,4.8,3.1,1,6295,72.0,0.0,3.6,jurisdiction_industry,Q42024,2025-10-21
"Education, health, and social services",10,137386,52.3,5.0,3.7,,,,,,10,137386,52.3,5.0,3.7,jurisdiction_industry,Q42024,2025-10-21
Entertainment and hospitality,1,561,24.0,10.0,6.9,,,,,,1,561,24.0,10.0,6.9,jurisdiction_industry,Q42024,2025-10-21
Public administration,10,25065,36.6,4.6,3.6,3,7490,48.0,4.8,3.2,7,17575,31.8,4.5,3.7,jurisdiction_industry,Q42024,2025-10-21
All industries,21,50994,49.7,4.2,3.4,6,13263,46.3,4.9,3.8,15,37731,50.8,3.9,3.2,jurisdiction_industry,Q12025,2025-10-21
Primary industries,1,536,36.0,3.0,3.0,1,536,36.0,3.0,3.0,,,,,,jurisdiction_industry,Q12025,2025-10-21
Utilities,1,980,36.0,2.8,3.5,,,,,,1,980,36.0,2.8,3.5,jurisdiction_industry,Q12025,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,Q12025,2025-10-21
Manufacturing,1,2400,72.0,4.0,3.2,,,,,,1,2400,72.0,4.0,3.2,jurisdiction_industry,Q12025,2025-10-21
Wholesale and retail trade,1,4947,72.0,6.0,3.3,,,,,,1,4947,72.0,6.0,3.3,jurisdiction_industry,Q12025,2025-10-21
Transportation,5,8457,41.3,4.5,3.7,4,5057,44.9,5.5,4.0,1,3400,36.0,3.0,3.2,jurisdiction_industry,Q12025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,Q12025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,jurisdiction_industry,Q12025,2025-10-21
"Education, health, and social services",8,13512,48.2,2.6,2.9,,,,,,8,13512,48.2,2.6,2.9,jurisdiction_industry,Q12025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,Q12025,2025-10-21
Public administration,4,20162,47.1,4.8,3.6,1,7670,48.0,4.7,3.7,3,12492,46.5,4.8,3.6,jurisdiction_industry,Q12025,2025-10-21
All industries,26,202589,46.9,5.8,4.4,1,733,48.0,5.0,4.5,25,201856,46.9,5.8,4.4,jurisdiction_industry,Q22025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,Q22025,2025-10-21
Utilities,1,2300,60.0,3.0,3.5,,,,,,1,2300,60.0,3.0,3.5,jurisdiction_industry,Q22025,2025-10-21
Construction,8,123854,48.0,7.2,5.0,,,,,,8,123854,48.0,7.2,5.0,jurisdiction_industry,Q22025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,jurisdiction_industry,Q22025,2025-10-21
Wholesale and retail trade,1,878,60.0,6.7,3.9,,,,,,1,878,60.0,6.7,3.9,jurisdiction_industry,Q22025,2025-10-21
Transportation,1,733,48.0,5.0,4.5,1,733,48.0,5.0,4.5,,,,,,jurisdiction_industry,Q22025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,Q22025,2025-10-21
Finance and professional services,1,1550,36.0,4.2,4.6,,,,,,1,1550,36.0,4.2,4.6,jurisdiction_industry,Q22025,2025-10-21
"Education, health, and social services",9,58878,44.0,3.4,3.2,,,,,,9,58878,44.0,3.4,3.2,jurisdiction_industry,Q22025,2025-10-21
Entertainment and hospitality,1,1606,24.0,10.8,10.2,,,,,,1,1606,24.0,10.8,10.2,jurisdiction_industry,Q22025,2025-10-21
Public administration,4,12790,50.1,3.2,2.9,,,,,,4,12790,50.1,3.2,2.9,jurisdiction_industry,Q22025,2025-10-21
All industries,292,1194600,48.5,0.9,1.4,25,120168,44.7,1.1,1.4,267,1074432,48.9,0.8,1.4,jurisdiction_industry,2016,2025-10-21
Primary industries,8,14090,32.1,0.2,0.7,,,,,,8,14090,32.1,0.2,0.7,jurisdiction_industry,2016,2025-10-21
Utilities,8,5800,48.9,0.8,1.4,,,,,,8,5800,48.9,0.8,1.4,jurisdiction_industry,2016,2025-10-21
Construction,53,112580,36.7,2.0,1.9,1,1380,48.0,2.0,2.0,52,111200,36.5,2.0,1.9,jurisdiction_industry,2016,2025-10-21
Manufacturing,29,43197,51.0,1.9,1.4,2,1270,40.8,1.3,1.9,27,41927,51.3,1.9,1.4,jurisdiction_industry,2016,2025-10-21
Wholesale and retail trade,9,24215,60.4,1.4,1.3,,,,,,9,24215,60.4,1.4,1.3,jurisdiction_industry,2016,2025-10-21
Transportation,18,85950,42.0,1.0,1.4,15,79380,42.2,0.9,1.3,3,6570,39.4,1.9,1.9,jurisdiction_industry,2016,2025-10-21
Information and culture,5,14578,56.0,0.7,1.2,4,12328,57.5,0.7,1.2,1,2250,48.0,1.3,1.3,jurisdiction_industry,2016,2025-10-21
Finance and professional services,8,5980,41.7,1.9,1.7,2,1310,21.0,2.1,2.1,6,4670,47.6,1.8,1.5,jurisdiction_industry,2016,2025-10-21
"Education, health, and social services",98,697660,49.7,0.5,1.2,,,,,,98,697660,49.7,0.5,1.2,jurisdiction_industry,2016,2025-10-21
Entertainment and hospitality,5,4010,45.9,1.7,1.7,,,,,,5,4010,45.9,1.7,1.7,jurisdiction_industry,2016,2025-10-21
Public administration,51,186540,52.8,1.3,1.5,1,24500,48.0,1.8,1.4,50,162040,53.6,1.2,1.5,jurisdiction_industry,2016,2025-10-21
All industries,224,868612,39.8,1.7,1.7,46,209018,47.4,1.4,1.6,178,659594,37.3,1.8,1.8,jurisdiction_industry,2017,2025-10-21
Primary industries,10,13602,36.8,0.7,0.9,2,1150,45.1,2.3,1.9,8,12452,36.1,0.6,0.8,jurisdiction_industry,2017,2025-10-21
Utilities,3,2920,29.4,1.6,1.7,,,,,,3,2920,29.4,1.6,1.7,jurisdiction_industry,2017,2025-10-21
Construction,16,97270,44.5,3.4,2.0,,,,,,16,97270,44.5,3.4,2.0,jurisdiction_industry,2017,2025-10-21
Manufacturing,10,10440,48.3,1.5,1.4,,,,,,10,10440,48.3,1.5,1.4,jurisdiction_industry,2017,2025-10-21
Wholesale and retail trade,7,14550,47.5,1.7,1.9,,,,,,7,14550,47.5,1.7,1.9,jurisdiction_industry,2017,2025-10-21
Transportation,19,28362,46.8,1.8,2.1,16,26382,48.1,1.8,2.1,3,1980,30.6,1.8,1.6,jurisdiction_industry,2017,2025-10-21
Information and culture,6,8936,47.3,1.6,1.8,4,7536,47.2,1.5,1.8,2,1400,48.0,1.7,1.8,jurisdiction_industry,2017,2025-10-21
Finance and professional services,11,20770,53.3,2.0,2.2,8,13520,39.7,1.6,2.0,3,7250,78.8,2.7,2.7,jurisdiction_industry,2017,2025-10-21
"Education, health, and social services",80,398216,30.5,1.5,1.7,,,,,,80,398216,30.5,1.5,1.7,jurisdiction_industry,2017,2025-10-21
Entertainment and hospitality,5,6350,46.7,2.0,1.9,,,,,,5,6350,46.7,2.0,1.9,jurisdiction_industry,2017,2025-10-21
Public administration,57,267196,49.1,1.4,1.6,16,160430,48.0,1.3,1.4,41,106766,50.8,1.6,1.9,jurisdiction_industry,2017,2025-10-21
All industries,226,761192,42.7,1.4,1.4,30,78120,47.9,1.8,2.0,196,683072,42.1,1.3,1.3,jurisdiction_industry,2018,2025-10-21
Primary industries,2,2213,50.9,8.7,2.7,,,,,,2,2213,50.9,8.7,2.7,jurisdiction_industry,2018,2025-10-21
Utilities,11,29176,44.9,1.3,2.0,,,,,,11,29176,44.9,1.3,2.0,jurisdiction_industry,2018,2025-10-21
Construction,16,93740,46.9,2.1,1.5,1,850,60.0,0.0,1.6,15,92890,46.8,2.1,1.5,jurisdiction_industry,2018,2025-10-21
Manufacturing,13,13488,51.9,2.2,1.9,,,,,,13,13488,51.9,2.2,1.9,jurisdiction_industry,2018,2025-10-21
Wholesale and retail trade,10,20373,52.8,0.9,1.4,,,,,,10,20373,52.8,0.9,1.4,jurisdiction_industry,2018,2025-10-21
Transportation,16,28882,44.0,2.0,2.2,9,11950,46.8,2.3,2.5,7,16932,42.1,1.9,2.0,jurisdiction_industry,2018,2025-10-21
Information and culture,8,25890,45.5,2.6,2.4,6,17240,50.7,2.4,2.3,2,8650,35.1,2.8,2.8,jurisdiction_industry,2018,2025-10-21
Finance and professional services,17,44852,47.9,2.7,2.1,5,6040,39.1,3.1,2.0,12,38812,49.3,2.7,2.1,jurisdiction_industry,2018,2025-10-21
"Education, health, and social services",77,330519,39.0,0.8,1.0,,,,,,77,330519,39.0,0.8,1.0,jurisdiction_industry,2018,2025-10-21
Entertainment and hospitality,9,7940,45.6,2.5,2.4,,,,,,9,7940,45.6,2.5,2.4,jurisdiction_industry,2018,2025-10-21
Public administration,47,164119,42.7,1.1,1.2,9,42040,48.0,1.2,1.7,38,122079,40.9,1.1,1.1,jurisdiction_industry,2018,2025-10-21
All industries,269,684720,43.1,1.8,1.8,40,102942,49.6,2.5,2.1,229,581778,41.9,1.7,1.8,jurisdiction_industry,2019,2025-10-21
Primary industries,4,5630,55.7,2.3,2.4,,,,,,4,5630,55.7,2.3,2.4,jurisdiction_industry,2019,2025-10-21
Utilities,12,19730,36.0,1.8,2.1,,,,,,12,19730,36.0,1.8,2.1,jurisdiction_industry,2019,2025-10-21
Construction,44,109945,36.6,2.0,2.1,,,,,,44,109945,36.6,2.0,2.1,jurisdiction_industry,2019,2025-10-21
Manufacturing,16,17760,61.1,2.0,2.2,1,780,48.0,2.0,1.7,15,16980,61.7,2.0,2.2,jurisdiction_industry,2019,2025-10-21
Wholesale and retail trade,11,25528,58.1,1.2,1.7,,,,,,11,25528,58.1,1.2,1.7,jurisdiction_industry,2019,2025-10-21
Transportation,20,41980,54.4,2.2,2.4,13,23660,52.6,2.4,2.6,7,18320,56.7,1.9,2.1,jurisdiction_industry,2019,2025-10-21
Information and culture,6,10782,53.8,1.2,1.3,4,9012,55.2,1.0,1.3,2,1770,46.4,1.7,1.1,jurisdiction_industry,2019,2025-10-21
Finance and professional services,6,5820,47.1,2.1,1.8,6,5820,47.1,2.1,1.8,,,,,,jurisdiction_industry,2019,2025-10-21
"Education, health, and social services",90,294965,38.3,1.3,1.6,,,,,,90,294965,38.3,1.3,1.6,jurisdiction_industry,2019,2025-10-21
Entertainment and hospitality,2,1800,36.0,7.1,5.0,,,,,,2,1800,36.0,7.1,5.0,jurisdiction_industry,2019,2025-10-21
Public administration,58,150780,48.8,2.4,1.9,16,63670,48.0,2.7,2.0,42,87110,49.4,2.2,1.8,jurisdiction_industry,2019,2025-10-21
All industries,182,809923,41.4,1.8,1.9,30,261483,44.3,2.4,2.2,152,548440,40.0,1.6,1.8,jurisdiction_industry,2020,2025-10-21
Primary industries,1,650,64.8,2.5,2.2,,,,,,1,650,64.8,2.5,2.2,jurisdiction_industry,2020,2025-10-21
Utilities,5,12606,44.3,1.5,1.9,,,,,,5,12606,44.3,1.5,1.9,jurisdiction_industry,2020,2025-10-21
Construction,10,20042,44.5,0.8,1.0,1,850,48.0,1.5,1.8,9,19192,44.4,0.8,1.0,jurisdiction_industry,2020,2025-10-21
Manufacturing,14,39945,40.3,3.2,2.1,,,,,,14,39945,40.3,3.2,2.1,jurisdiction_industry,2020,2025-10-21
Wholesale and retail trade,9,13811,75.5,0.9,1.0,,,,,,9,13811,75.5,0.9,1.0,jurisdiction_industry,2020,2025-10-21
Transportation,22,98811,51.5,2.1,2.3,15,89283,51.9,2.2,2.4,7,9528,47.9,0.7,1.1,jurisdiction_industry,2020,2025-10-21
Information and culture,2,3450,43.9,1.2,1.3,1,1200,36.1,1.5,1.5,1,2250,48.0,1.0,1.1,jurisdiction_industry,2020,2025-10-21
Finance and professional services,9,25148,45.8,1.3,1.6,4,10960,47.5,1.4,1.3,5,14188,44.5,1.3,1.8,jurisdiction_industry,2020,2025-10-21
"Education, health, and social services",74,385643,36.4,1.5,1.9,,,,,,74,385643,36.4,1.5,1.9,jurisdiction_industry,2020,2025-10-21
Entertainment and hospitality,3,2038,31.3,1.6,1.7,,,,,,3,2038,31.3,1.6,1.7,jurisdiction_industry,2020,2025-10-21
Public administration,33,207779,42.7,2.3,1.9,9,159190,39.8,2.6,2.1,24,48589,52.3,1.2,1.4,jurisdiction_industry,2020,2025-10-21
All industries,179,1030411,42.8,1.8,1.9,26,119215,49.1,1.9,2.4,153,911196,42.0,1.8,1.9,jurisdiction_industry,2021,2025-10-21
Primary industries,3,3139,44.5,1.4,2.4,1,710,42.0,2.0,2.0,2,2429,45.3,1.2,2.5,jurisdiction_industry,2021,2025-10-21
Utilities,8,17469,27.5,1.1,1.1,,,,,,8,17469,27.5,1.1,1.1,jurisdiction_industry,2021,2025-10-21
Construction,9,149177,47.9,2.0,2.0,,,,,,9,149177,47.9,2.0,2.0,jurisdiction_industry,2021,2025-10-21
Manufacturing,15,14707,51.2,4.5,2.3,,,,,,15,14707,51.2,4.5,2.3,jurisdiction_industry,2021,2025-10-21
Wholesale and retail trade,10,24770,55.8,1.5,1.4,,,,,,10,24770,55.8,1.5,1.4,jurisdiction_industry,2021,2025-10-21
Transportation,14,57058,40.6,2.1,2.5,13,56028,40.5,2.1,2.5,1,1030,48.0,3.0,2.5,jurisdiction_industry,2021,2025-10-21
Information and culture,5,8228,57.5,1.7,1.9,4,7410,59.8,1.7,1.9,1,818,36.0,2.0,2.0,jurisdiction_industry,2021,2025-10-21
Finance and professional services,6,7582,43.2,0.5,2.1,3,3925,40.4,0.5,1.7,3,3657,46.2,0.4,2.5,jurisdiction_industry,2021,2025-10-21
"Education, health, and social services",69,584584,38.9,1.8,1.9,,,,,,69,584584,38.9,1.8,1.9,jurisdiction_industry,2021,2025-10-21
Entertainment and hospitality,4,4836,36.7,0.1,1.0,,,,,,4,4836,36.7,0.1,1.0,jurisdiction_industry,2021,2025-10-21
Public administration,36,158861,51.4,1.7,1.9,5,51142,57.6,1.8,2.4,31,107719,48.4,1.7,1.7,jurisdiction_industry,2021,2025-10-21
All industries,147,706936,42.5,2.8,2.7,24,45513,48.7,3.4,3.0,123,661423,42.1,2.8,2.7,jurisdiction_industry,2022,2025-10-21
Primary industries,1,1011,60.0,2.0,2.0,,,,,,1,1011,60.0,2.0,2.0,jurisdiction_industry,2022,2025-10-21
Utilities,4,3055,44.7,0.4,1.6,,,,,,4,3055,44.7,0.4,1.6,jurisdiction_industry,2022,2025-10-21
Construction,8,58510,35.7,4.6,4.4,,,,,,8,58510,35.7,4.6,4.4,jurisdiction_industry,2022,2025-10-21
Manufacturing,8,12376,52.3,9.0,3.9,,,,,,8,12376,52.3,9.0,3.9,jurisdiction_industry,2022,2025-10-21
Wholesale and retail trade,3,10577,43.5,7.9,3.1,,,,,,3,10577,43.5,7.9,3.1,jurisdiction_industry,2022,2025-10-21
Transportation,17,42278,42.0,3.3,2.9,13,24833,49.1,3.9,3.3,4,17445,31.8,2.5,2.4,jurisdiction_industry,2022,2025-10-21
Information and culture,9,15770,47.8,2.6,2.4,6,13890,48.9,2.8,2.6,3,1880,39.5,1.1,1.1,jurisdiction_industry,2022,2025-10-21
Finance and professional services,9,23855,53.6,1.8,2.1,4,2290,44.3,2.4,2.7,5,21565,54.6,1.7,2.0,jurisdiction_industry,2022,2025-10-21
"Education, health, and social services",59,404495,42.9,2.5,2.6,,,,,,59,404495,42.9,2.5,2.6,jurisdiction_industry,2022,2025-10-21
Entertainment and hospitality,2,2406,40.0,4.8,3.7,,,,,,2,2406,40.0,4.8,3.7,jurisdiction_industry,2022,2025-10-21
Public administration,27,132603,40.7,2.4,2.3,1,4500,48.0,3.5,2.8,26,128103,40.5,2.3,2.3,jurisdiction_industry,2022,2025-10-21
All industries,159,720010,42.9,3.7,3.4,36,263293,47.1,2.7,3.2,123,456717,40.5,4.3,3.4,jurisdiction_industry,2023,2025-10-21
Primary industries,1,750,48.0,3.5,2.9,,,,,,1,750,48.0,3.5,2.9,jurisdiction_industry,2023,2025-10-21
Utilities,8,19154,29.4,3.9,3.8,,,,,,8,19154,29.4,3.9,3.8,jurisdiction_industry,2023,2025-10-21
Construction,9,25701,27.8,8.2,5.9,1,850,60.0,4.0,3.8,8,24851,26.7,8.4,5.9,jurisdiction_industry,2023,2025-10-21
Manufacturing,9,22886,37.3,8.9,4.9,,,,,,9,22886,37.3,8.9,4.9,jurisdiction_industry,2023,2025-10-21
Wholesale and retail trade,4,13379,57.5,8.9,4.0,,,,,,4,13379,57.5,8.9,4.0,jurisdiction_industry,2023,2025-10-21
Transportation,24,44872,38.1,4.9,3.9,17,32469,38.5,5.9,4.4,7,12403,37.2,2.4,2.4,jurisdiction_industry,2023,2025-10-21
Information and culture,4,10961,57.3,1.6,2.5,4,10961,57.3,1.6,2.5,,,,,,jurisdiction_industry,2023,2025-10-21
Finance and professional services,4,3619,45.8,7.0,4.3,3,2065,27.7,9.0,6.1,1,1554,69.8,4.2,2.0,jurisdiction_industry,2023,2025-10-21
"Education, health, and social services",61,315067,41.4,3.7,3.2,,,,,,61,315067,41.4,3.7,3.2,jurisdiction_industry,2023,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,2023,2025-10-21
Public administration,35,263621,47.1,2.3,3.0,11,216948,48.0,2.2,3.0,24,46673,42.7,2.9,2.8,jurisdiction_industry,2023,2025-10-21
All industries,145,1115557,50.8,4.7,3.4,23,69202,35.6,4.5,3.6,122,1046355,51.8,4.8,3.3,jurisdiction_industry,2024,2025-10-21
Primary industries,1,3317,36.0,5.0,4.0,,,,,,1,3317,36.0,5.0,4.0,jurisdiction_industry,2024,2025-10-21
Utilities,3,3361,31.9,3.3,3.0,,,,,,3,3361,31.9,3.3,3.0,jurisdiction_industry,2024,2025-10-21
Construction,1,700,48.0,2.8,2.6,1,700,48.0,2.8,2.6,,,,,,jurisdiction_industry,2024,2025-10-21
Manufacturing,7,8804,41.9,10.4,6.1,,,,,,7,8804,41.9,10.4,6.1,jurisdiction_industry,2024,2025-10-21
Wholesale and retail trade,1,10229,36.0,3.0,2.6,,,,,,1,10229,36.0,3.0,2.6,jurisdiction_industry,2024,2025-10-21
Transportation,11,24201,41.5,5.0,4.0,9,10901,46.3,5.6,3.7,2,13300,37.6,4.6,4.2,jurisdiction_industry,2024,2025-10-21
Information and culture,6,8605,40.7,3.2,2.0,3,5600,39.8,3.1,1.7,3,3005,42.4,3.4,2.6,jurisdiction_industry,2024,2025-10-21
Finance and professional services,7,24715,35.1,3.4,3.7,3,10430,15.5,4.5,4.4,4,14285,49.5,2.5,3.2,jurisdiction_industry,2024,2025-10-21
"Education, health, and social services",76,904206,53.2,4.9,3.3,,,,,,76,904206,53.2,4.9,3.3,jurisdiction_industry,2024,2025-10-21
Entertainment and hospitality,2,1311,30.9,7.1,5.1,,,,,,2,1311,30.9,7.1,5.1,jurisdiction_industry,2024,2025-10-21
Public administration,30,126108,42.1,3.9,3.3,7,41571,37.0,4.5,3.7,23,84537,44.6,3.6,3.1,jurisdiction_industry,2024,2025-10-21
All industries,51,299241,47.6,5.8,3.9,9,17332,47.9,4.8,3.8,42,281909,47.6,5.8,3.9,jurisdiction_industry,2025,2025-10-21
Primary industries,1,536,36.0,3.0,3.0,1,536,36.0,3.0,3.0,,,,,,jurisdiction_industry,2025,2025-10-21
